preset,benchmark,condition,n,err,acc,strict_prompt,loose_prompt,strict_inst,loose_inst,base_acc,delta
qwen3.5-2b-it,gsm8k,baseline,1319,0,78.84761182714178,,,,,78.84761182714178,0.0
qwen3.5-2b-it,gsm8k,logician,1319,0,65.57998483699772,,,,,78.84761182714178,-13.267626990144052
qwen3.5-2b-it,gsm8k,confucian,1319,0,67.32373009855952,,,,,78.84761182714178,-11.523881728582253
qwen3.5-2b-it,gsm8k,dao,1319,0,62.3199393479909,,,,,78.84761182714178,-16.527672479150873
qwen3.5-2b-it,gsm8k,legal,1319,0,64.59438968915845,,,,,78.84761182714178,-14.253222137983329
qwen3.5-2b-it,gsm8k,military,1319,0,68.15769522365429,,,,,78.84761182714178,-10.68991660348749
qwen3.5-2b-it,ifeval,baseline,541,0,60.44362292051756,0.6044362292051756,0.6451016635859519,0.7647887323943662,0.8042253521126761,60.44362292051756,0.0
qwen3.5-2b-it,ifeval,mohist,541,0,57.301293900184845,0.5730129390018485,0.6062846580406654,0.7422535211267606,0.7718309859154929,60.44362292051756,-3.142329020332717
qwen3.5-2b-it,ifeval,neutral_long,541,0,61.182994454713494,0.6118299445471349,0.6561922365988909,0.7704225352112676,0.8126760563380282,60.44362292051756,0.7393715341959322
qwen3.5-2b-it,ifeval,military,541,0,43.992606284658045,0.4399260628465804,0.4787430683918669,0.6154929577464788,0.6577464788732394,60.44362292051756,-16.451016635859517
qwen3.5-2b-it,ifeval,confucian,541,0,43.80776340110906,0.43807763401109057,0.5009242144177449,0.5957746478873239,0.6633802816901408,60.44362292051756,-16.635859519408505
qwen3.5-2b-it,ifeval,dao,541,0,59.51940850277264,0.5951940850277264,0.634011090573013,0.7507042253521127,0.7887323943661971,60.44362292051756,-0.9242144177449205
qwen3.5-2b-it,ifeval,legal,541,0,41.0351201478743,0.41035120147874304,0.45471349353049906,0.5859154929577465,0.6309859154929578,60.44362292051756,-19.40850277264326
qwen3.5-2b-it,ifeval,logician,541,0,55.45286506469501,0.5545286506469501,0.5933456561922366,0.7154929577464789,0.7549295774647887,60.44362292051756,-4.990757855822551
qwen3.5-4b-it,gsm8k,baseline,1319,0,94.08642911296437,,,,,94.08642911296437,0.0
qwen3.5-4b-it,ifeval,baseline,541,0,73.93715341959334,0.7393715341959335,0.7744916820702403,0.8802816901408451,0.9112676056338028,73.93715341959334,0.0
qwen3.5-4b-it,gsm8k,neutral_long,1319,0,93.17664897649735,,,,,94.08642911296437,-0.9097801364670204
qwen3.5-4b-it,ifeval,neutral_long,541,0,73.19778188539742,0.7319778188539742,0.7634011090573013,0.8746478873239436,0.9014084507042254,73.93715341959334,-0.739371534195925
qwen3.5-4b-it,gsm8k,dao,1319,0,81.27369219105383,,,,,94.08642911296437,-12.812736921910542
qwen3.5-4b-it,ifeval,dao,541,0,73.01293900184844,0.7301293900184843,0.7615526802218114,0.8774647887323944,0.9042253521126761,73.93715341959334,-0.9242144177449063
qwen3.5-4b-it,gsm8k,confucian,1319,0,92.19105382865807,,,,,94.08642911296437,-1.8953752843062972
qwen3.5-4b-it,ifeval,confucian,541,0,59.88909426987061,0.5988909426987061,0.6414048059149723,0.7563380281690141,0.7929577464788733,73.93715341959334,-14.048059149722732
qwen3.5-4b-it,gsm8k,legal,1319,0,91.20545868081881,,,,,94.08642911296437,-2.88097043214556
qwen3.5-4b-it,ifeval,legal,541,0,48.428835489833645,0.48428835489833644,0.5194085027726433,0.6309859154929578,0.6647887323943662,73.93715341959334,-25.5083179297597
qwen3.5-4b-it,gsm8k,military,1319,0,90.67475360121304,,,,,94.08642911296437,-3.4116755117513264
qwen3.5-4b-it,ifeval,military,541,0,53.23475046210721,0.532347504621072,0.5674676524953789,0.7056338028169014,0.7338028169014085,73.93715341959334,-20.702402957486136
qwen3.5-4b-it,gsm8k,mohist,1319,0,80.59135708870356,,,,,94.08642911296437,-13.495072024260807
qwen3.5-4b-it,ifeval,mohist,541,0,65.06469500924214,0.6506469500924215,0.6765249537892791,0.8056338028169014,0.8309859154929577,73.93715341959334,-8.8724584103512
qwen3.5-4b-it,gsm8k,logician,1319,0,84.91281273692191,,,,,94.08642911296437,-9.17361637604246
qwen3.5-4b-it,ifeval,logician,541,0,58.41035120147874,0.5841035120147874,0.6192236598890942,0.7492957746478873,0.7859154929577464,73.93715341959334,-15.526802218114604
qwen3.5-9b-it,gsm8k,baseline,1319,0,94.31387414708112,,,,,94.31387414708112,0.0
qwen3.5-9b-it,ifeval,baseline,541,0,75.78558225508318,0.7578558225508318,0.7911275415896488,0.8971830985915493,0.9253521126760563,75.78558225508318,0.0
qwen3.5-9b-it,gsm8k,neutral_long,1319,0,94.46550416982562,,,,,94.31387414708112,0.15163002274449866
qwen3.5-9b-it,ifeval,neutral_long,541,0,75.23105360443623,0.7523105360443623,0.7744916820702403,0.895774647887324,0.9154929577464789,75.78558225508318,-0.554528650646958
qwen3.5-9b-it,gsm8k,dao,1319,0,86.88400303260046,,,,,94.31387414708112,-7.429871114480662
qwen3.5-9b-it,ifeval,dao,541,0,75.97042513863215,0.7597042513863216,0.7818853974121996,0.8985915492957747,0.9211267605633803,75.78558225508318,0.18484288354896705
qwen3.5-9b-it,gsm8k,confucian,1319,0,92.03942380591357,,,,,94.31387414708112,-2.274450341167551
qwen3.5-9b-it,ifeval,confucian,541,0,65.06469500924214,0.6506469500924215,0.6931608133086876,0.8042253521126761,0.8422535211267606,75.78558225508318,-10.720887245841041
qwen3.5-9b-it,gsm8k,legal,1319,0,87.11144806671722,,,,,94.31387414708112,-7.202426080363907
qwen3.5-9b-it,ifeval,legal,541,0,56.931608133086876,0.5693160813308688,0.5859519408502772,0.7267605633802817,0.7422535211267606,75.78558225508318,-18.85397412199631
qwen3.5-9b-it,gsm8k,military,1319,0,92.26686884003033,,,,,94.31387414708112,-2.047005307050796
qwen3.5-9b-it,ifeval,military,541,0,58.78003696857671,0.5878003696857671,0.6136783733826248,0.7605633802816901,0.780281690140845,75.78558225508318,-17.005545286506475
qwen3.5-9b-it,gsm8k,mohist,1319,0,84.4579226686884,,,,,94.31387414708112,-9.855951478392726
qwen3.5-9b-it,ifeval,mohist,541,0,68.39186691312385,0.6839186691312384,0.7134935304990758,0.8366197183098592,0.8676056338028169,75.78558225508318,-7.393715341959336
qwen3.5-9b-it,gsm8k,logician,1319,0,83.62395754359363,,,,,94.31387414708112,-10.68991660348749
qwen3.5-9b-it,ifeval,logician,541,0,56.007393715341955,0.5600739371534196,0.6025878003696857,0.7309859154929578,0.7676056338028169,75.78558225508318,-19.77818853974123
qwen3.5-0.8b-it,mmlu,mohist,14042,0,43.27731092436975,,,,,43.91112377154251,-0.6338128471727629
qwen3.5-0.8b-it,mmlu,logician,14042,0,37.03888334995015,,,,,43.91112377154251,-6.872240421592366
qwen3.5-0.8b-it,mmlu,dao,14042,0,41.16934909557043,,,,,43.91112377154251,-2.7417746759720814
qwen3.5-0.8b-it,mmlu,baseline,14042,0,43.91112377154251,,,,,43.91112377154251,0.0
qwen3.5-0.8b-it,mmlu,neutral_long,14042,0,42.09514314200256,,,,,43.91112377154251,-1.8159806295399505
qwen3.5-0.8b-it,mmlu,legal,14042,0,38.527275316906426,,,,,43.91112377154251,-5.383848454636087
qwen3.5-0.8b-it,mmlu,confucian,14042,0,38.10710724967954,,,,,43.91112377154251,-5.804016521862977
qwen3.5-0.8b-it,mmlu,military,14042,0,39.22518159806295,,,,,43.91112377154251,-4.68594217347956
qwen3.5-0.8b-it,bbh,legal,6511,0,23.437260021502073,,,,,39.579173706035945,-16.141913684533872
qwen3.5-0.8b-it,bbh,dao,6511,0,24.65059130701889,,,,,39.579173706035945,-14.928582399017056
qwen3.5-0.8b-it,bbh,confucian,6511,0,23.851942865919213,,,,,39.579173706035945,-15.727230840116732
qwen3.5-0.8b-it,bbh,mohist,6511,0,34.311165719551525,,,,,39.579173706035945,-5.26800798648442
qwen3.5-0.8b-it,bbh,baseline,6511,0,39.579173706035945,,,,,39.579173706035945,0.0
qwen3.5-0.8b-it,bbh,logician,6511,0,21.087390569804946,,,,,39.579173706035945,-18.491783136231
qwen3.5-0.8b-it,bbh,neutral_long,6511,0,41.69866379972355,,,,,39.579173706035945,2.1194900936876024
qwen3.5-0.8b-it,bbh,military,6511,0,15.78866533558593,,,,,39.579173706035945,-23.790508370450013
qwen3.5-0.8b-it,humaneval,mohist,164,0,1.2195121951219512,,,,,25.0,-23.78048780487805
qwen3.5-0.8b-it,truthfulqa,mohist,817,0,31.823745410036718,,,,,42.227662178702566,-10.403916768665848
qwen3.5-0.8b-it,humaneval,confucian,164,0,23.170731707317074,,,,,25.0,-1.8292682926829258
qwen3.5-0.8b-it,humaneval,neutral_long,164,0,18.902439024390244,,,,,25.0,-6.097560975609756
qwen3.5-0.8b-it,humaneval,legal,164,0,20.121951219512198,,,,,25.0,-4.878048780487802
qwen3.5-0.8b-it,humaneval,logician,164,0,24.390243902439025,,,,,25.0,-0.6097560975609753
qwen3.5-0.8b-it,truthfulqa,confucian,817,0,43.20685434516524,,,,,42.227662178702566,0.9791921664626742
qwen3.5-0.8b-it,truthfulqa,logician,817,0,42.10526315789473,,,,,42.227662178702566,-0.12239902080783338
qwen3.5-0.8b-it,humaneval,military,164,0,25.0,,,,,25.0,0.0
qwen3.5-0.8b-it,truthfulqa,neutral_long,817,0,36.964504283965724,,,,,42.227662178702566,-5.2631578947368425
qwen3.5-0.8b-it,truthfulqa,military,817,0,33.65973072215422,,,,,42.227662178702566,-8.567931456548344
qwen3.5-0.8b-it,humaneval,baseline,164,0,25.0,,,,,25.0,0.0
qwen3.5-0.8b-it,humaneval,dao,164,0,26.21951219512195,,,,,25.0,1.2195121951219505
qwen3.5-0.8b-it,truthfulqa,baseline,817,0,42.227662178702566,,,,,42.227662178702566,0.0
qwen3.5-0.8b-it,truthfulqa,dao,817,0,44.430844553243574,,,,,42.227662178702566,2.203182374541008
qwen3.5-0.8b-it,truthfulqa,legal,817,0,35.98531211750306,,,,,42.227662178702566,-6.2423500611995095
qwen3.5-2b-it,mmlu,mohist,14042,0,57.20695057684091,,,,,54.94231590941462,2.264634667426293
